37;COLEGIO LOYOLA;BELO HORIZONTE;MG;Privada;80% ou mais;Muito Alto;689,55;632,21;771,14;673,68;681,16;770,6
38;COLEGIO POLITECNICO DA UNIV FED DE STA MARIA;SANTA MARIA;RS;Federal;80% ou mais;Muito Alto;689,44;643,47;745,91;686,45;681,93;790,59
39;BANDEIRANTES COLEGIO EFM;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;689,4;628,68;772,42;674,47;682,03;706,74
40;OBJETIVO DO LITORAL CENTRO EDUCACIONAL;SANTOS;SP;Privada;Menos de 20%;Muito Alto;688,45;631,64;768,2;674,26;679,71;713,04
41;INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO;NITEROI;RJ;Privada;80% ou mais;Muito Alto;687,23;625,76;780,6;666,48;676,06;763,57
42;COLEGIO WR;GOIANIA;GO;Privada;80% ou mais;Muito Alto;685,48;633,39;750,26;677,43;680,86;793,2
43;COLEGIO MOTIVO - UNIDADE II;RECIFE;PE;Privada;Menos de 20%;Muito Alto;684,97;632,23;754,28;671,88;681,47;785,37
44;COLEGIO IPIRANGA;PETROPOLIS;RJ;Privada;De 40% a 60%;Muito Alto;684,78;637,16;761,18;658,25;682,53;801,21
45;COLEGIO SANTO INACIO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;684,68;632,77;756,11;656,69;693,13;795,57
46;COLEGIO EQUIPE;RECIFE;PE;Privada;80% ou mais;Muito Alto;684,08;627,93;765,2;659,17;684,02;810,83
47;COLEGIO SANTO AGOSTINHO - NL;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;683,48;627,08;775,29;653,15;678,42;813,43
48;CE LEONARDO DA VINCI;VITORIA;ES;Privada;80% ou mais;Muito Alto;683,44;632,81;763,99;661,84;675,12;695,26
49;COLEGIO CRUZEIRO-CENTRO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;682,4;633,16;752,37;660,68;683,4;851,98
50;COLEGIO COGNITIVO;RECIFE;PE;Privada;De 60% a 80%;Muito Alto;682,34;627,49;753,35;666,96;681,56;801,76
51;COLEGIO FAZER CRESCER - ENSINO MEDIO;RECIFE;PE;Privada;80% ou mais;Muito Alto;681,62;611,46;777,3;664,86;672,84;744,4
52;ETAPA COLEGIO;VALINHOS;SP;Privada;80% ou mais;Muito Alto;681,57;623,81;755,17;668,85;678,44;709,5
53;COLEGIO DOM BOSCO BATEL - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;CURITIBA;PR;Privada;De 20% a 40%;Muito Alto;680,12;631,36;741,3;666,3;681,5;705,14
54;EMBRAER JUAREZ WANDERLEY COLEGIO;SAO JOSE DOS CAMPOS;SP;Privada;80% ou mais;Alto;680,08;627,85;763,38;656,86;672,23;753,43
55;MATER AMABILIS COLEGIO;GUARULHOS;SP;Privada;80% ou mais;Muito Alto;679,04;630,67;756,81;646,98;681,71;759,05
56;SISTEMA ELITE DE ENSINO;RIO DE JANEIRO;RJ;Privada;Menos de 20%;Muito Alto;678,49;604,07;773,99;673,27;662,64;644,38
57;COLEGIO SANTA DOROTEIA;BELO HORIZONTE;MG;Privada;80% ou mais;Muito Alto;678,48;633,26;742,88;651,38;686,41;749,42
58;COLEGIO POSITIVO ENSINO MEDIO - SEDE;CURITIBA;PR;Privada;De 60% a 80%;Muito Alto;676,99;628,17;734,83;675,11;669,85;738,31
59;COLEGIO SAO JOAO BATISTA NOVA FRIBURGO;NOVA FRIBURGO;RJ;Privada;De 40% a 60%;Muito Alto;676,55;625,72;744,31;656,52;679,66;704,35
60;COLEGIO CRUZEIRO - JACAREPAGUA;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;676,36;623,97;732,21;664,06;685,2;830
61;COL MARILIA MATTOSO;NITEROI;RJ;Privada;80% ou mais;Muito Alto;675,32;626,75;732,59;665,33;676,62;750
62;COLEGIO DE APLICACAO DO CE DA UFPE;RECIFE;PE;Federal;80% ou mais;Muito Alto;674,65;638,91;731,34;646,53;681,83;843,85
63;COL FRANCO BRASILEIRO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;674,56;620,7;737,75;654,98;684,81;773,95
64;COLEGIO SANTA CATARINA;JUIZ DE FORA;MG;Privada;80% ou mais;Muito Alto;674,02;627,08;742,5;647,73;678,77;791,13
65;COL OLIMPO DE AGUAS CLARAS;BRASILIA;DF;Privada;Menos de 20%;Sem informação;673,97;610,23;740,66;669,74;675,25;754
66;ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS;TERESINA;PI;Privada;80% ou mais;Muito Alto;673,79;613,92;756,66;652,25;672,32;775,05
67;PORTO SEGURO VISCONDE COLEGIO UNIDADE II;VALINHOS;SP;Privada;80% ou mais;Muito Alto;672,69;630,62;733,95;646,89;679,31;780,16
68;UIRAPURU COLEGIO;SOROCABA;SP;Privada;80% ou mais;Muito Alto;672,47;618,36;740,91;659,99;670,64;782
69;ETAPA COLEGIO DE EFM;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;672,39;615,3;745,86;659,05;669,35;703,94
70;COL IDEAL;BRASILIA;DF;Privada;Menos de 20%;Sem informação;672,15;633,19;713,79;649,81;691,79;767,27
71;COLEGIO MARISTA DOM SILVERIO;BELO HORIZONTE;MG;Privada;De 60% a 80%;Muito Alto;671,35;626,33;729,63;646,64;682,78;756,33
72;AGOSTINIANO MENDEL COLEGIO;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;670,6;620,88;736,64;654,6;670,3;693
73;VITAL BRAZIL COLEGIO;SAO PAULO;SP;Privada;De 60% a 80%;Sem informação;670,35;617,68;759,15;645,08;659,51;722,89
74;COLEGUIUM - ENSINO FUNDAMENTAL E MEDIO;BELO HORIZONTE;MG;Privada;De 40% a 60%;Muito Alto;670,2;613,74;747,46;647,98;671,62;786,11
75;COLEGIO CIENCIAS APLICADAS;NATAL;RN;Privada;De 60% a 80%;Muito Alto;670;612,41;732,38;668,4;666,8;779,47
76;COLEGIO ANCHIETA;SALVADOR;BA;Privada;80% ou mais;Muito Alto;669,92;622,16;725,17;664,07;668,28;738,62
77;ESCOLA SESC DE ENSINO MEDIO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Alto;669,73;631,59;727,17;635,15;685,01;794,94
78;LEONARDO ANGLO COLEGIO;BARUERI;SP;Privada;De 60% a 80%;Muito Alto;668,88;627,39;734,31;646,04;667,78;688,57
79;CEV COLEGIO UNIDADE JOCKEY;TERESINA;PI;Privada;Menos de 20%;Alto;668,01;626;727,33;634,14;684,58;825,2
80;POLIEDRO COLEGIO;SAO JOSE DOS CAMPOS;SP;Privada;De 60% a 80%;Muito Alto;667,13;615,9;726,35;652,08;674,19;732,25
81;LICEU DE ARTES E OFICIOS DE SAO PAULO ESCOLA TECNICA;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;666,67;620,06;746,81;635,15;664,67;774,81
82;COLEGIO MILITAR DE BELO HORIZONTE;BELO HORIZONTE;MG;Federal;80% ou mais;Muito Alto;665,94;613,66;734,54;641,86;673,71;734,84
83;CEMP ENSINO MEDIO LTDA;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;665,91;641,82;700,42;639,68;681,73;855
84;UNIDADE JARDIM COLEGIO;SANTO ANDRE;SP;Privada;De 60% a 80%;Muito Alto;665,54;633,87;720,22;649,62;658,45;729,27
85;COLEGIO MARISTA - VARGINHA;VARGINHA;MG;Privada;De 60% a 80%;Muito Alto;665,29;617,58;722,69;639,12;681,8;761,43
86;SANTO AMERICO COLEGIO;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;665,1;620,41;726,15;639,64;674,21;754,44
87;ESCOLA PREPARATORIA DE CADETES DO AR;BARBACENA;MG;Federal;80% ou mais;Muito Alto;664,5;604,82;781,36;619,74;652,08;651,03
88;MASTER COLEGIO;FORTALEZA;CE;Privada;De 40% a 60%;Alto;664,24;605,58;738,83;645,7;666,86;818,61
89;CENTRO EDUC ESPACO INTEGRADO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;664,01;634,63;709;623,25;689,16;811,63
90;COLEGIO LOGOSOFICO GONZALEZ PECOTCHE;BELO HORIZONTE;MG;Privada;80% ou mais;Muito Alto;663,68;620,18;727,32;644,17;663,05;746,12
91;ESC ISRAELITA BRAS ELIEZER STEINBARG MAX NORDAU;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;663,04;621,18;716,18;629,1;685,7;773,75
92;PALMARES COLEGIO EFM;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;662,9;625,93;724,58;628,74;672,36;726,82
